FOLIO,SEXO_ENCUESTADO,EDAD_ENCUESTADO,P1_5,P2_4,P2_5,P2_6_SUMA_SEMANALES_EST,P2_8,P2_10_F,P2_10_G,P2_13,P3_16,P3_17,P5_2_A_1,P5_2_B_1,P5_2_C_1,P5_2_D_1,P5_2_E_1,P5_3_A,P5_3_B,P5_3_C,P5_3_D,P5_3_E,P6_1_A,P6_1_B,P6_1_C,P6_1_D,P6_2,P6_3_HORAS,P6_3_MIN,P6_4,P6_5_HORAS,P6_5_MIN,P6_6,P6_7_HORAS,P6_7_MIN,P6_8_HORAS,P6_8_MIN,P6_12,P6_13,P6_14,P6_16,P6_18,P6_30_A_1,P6_30_A_2,P6_30_B_1,P6_30_B_2,P6_30_C_1,P6_30_C_2,P6_30_D_1,P6_30_D_2,P6_30_E_1,P6_30_E_2,P6_30_F_1,P6_30_F_2,P6_30_G_1,P6_30_G_2,P6_30_H_1,P6_30_H_2,O6_3,O6_5,O6_7,O6_8
3846.0,H,41,10,1,1,24,0,2,2,3,1,8,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2.0,1,0,0,0,0,1,1.0,0.0,,,0,1,1,1,2,2,1,1,1,3,2,1,1,5,2,2,2,7,3,5,2,2.0,0.0,1.0,28.0
3847.0,M,80,10,9,9,0,0,9,9,9,2,8,1,1,0,1,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0,0,4,1,0,3,1,1,1,2,1,1,1,4,2,1,1,7,2,7,1,0.0,0.0,0.0,42.0
3848.0,M,55,10,1,1,24,4,5,5,1,1,7,1,0,0,0,0,0,0,0,0,0,3,4,4,2,0.0,0,0,0,0,0,3,0.0,15.0,4.0,0.0,0,0,4,1,0,5,1,1,1,2,2,1,1,6,1,3,1,7,2,7,1,0.0,0.0,0.75,28.0
3849.0,H,51,10,1,4,35,1,2,2,2,2,9,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,3,0.0,25.0,4.0,0.0,1,0,1,1,0,0,0,1,1,5,1,1,1,4,2,3,1,4,2,5,2,0.0,0.0,1.25,28.0
3850.0,H,68,10,9,9,0,0,9,9,9,2,7,1,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,5,1.0,0.0,4.0,0.0,0,0,2,2,2,7,1,1,1,7,1,0,0,7,2,0,0,7,4,7,4,0.0,0.0,5.0,28.0
3851.0,H,78,10,9,9,0,0,9,9,9,2,10,1,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0,0,4,1,0,3,1,1,1,2,1,1,1,2,1,7,1,7,1,0,0,0.0,0.0,0.0,42.0
3852.0,M,45,10,1,1,40,0,5,5,3,2,5,1,1,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,4,0.0,0.0,8.0,0.0,0,0,4,2,2,7,1,1,1,6,1,1,1,6,1,3,1,3,1,7,1,0.0,0.0,0.0,56.0
3853.0,H,21,10,9,9,0,0,9,9,9,5,5,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4.0,1,0,0,0,0,4,0.0,30.0,5.0,0.0,0,0,1,3,4,6,1,0,0,5,1,1,1,6,1,7,1,7,1,7,1,4.0,0.0,2.0,35.0
3854.0,H,77,10,9,9,0,0,9,9,9,1,6,1,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,7,0.0,20.0,2.0,0.0,0,0,2,3,1,7,1,1,1,7,2,1,1,0,0,1,1,7,2,7,2,0.0,0.0,2.333333333333333,14.0
3855.0,M,76,10,9,9,0,0,9,9,9,2,10,1,0,0,0,0,1,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,0,0.0,0.0,,,0,0,4,1,0,3,1,3,1,6,1,2,1,7,1,1,1,3,2,4,2,0.0,0.0,0.0,28.0
3856.0,M,35,10,1,6,24,1,5,5,1,2,6,0,0,0,0,1,0,0,0,0,0,4,4,4,2,0.0,0,0,1,4,0,6,3.0,0.0,4.0,0.0,0,0,2,2,1,6,2,1,1,7,1,1,1,7,1,0,0,7,4,7,6,0.0,4.0,18.0,28.0
3857.0,M,20,4,9,9,0,0,9,9,9,1,8,0,0,0,0,0,0,0,0,0,0,2,4,4,3,0.0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0,0,4,1,0,1,1,1,1,3,1,1,1,5,2,5,3,7,2,2,1,0.0,0.0,0.0,35.0
3858.0,M,56,10,1,1,15,0,5,5,3,2,8,1,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,7,0,20,7,0.0,20.0,6.0,0.0,0,0,4,1,0,6,1,1,1,7,1,1,1,6,1,5,1,7,1,6,2,0.0,2.333333333333333,2.333333333333333,42.0
3859.0,M,69,4,9,9,0,0,9,9,9,1,6,1,0,0,0,0,1,0,0,0,0,4,4,4,4,0.0,0,0,5,5,0,3,0.0,30.0,3.0,0.0,0,0,4,1,0,5,1,1,1,3,2,1,1,5,1,7,1,7,1,3,1,0.0,25.0,1.5,21.0
